Country,Continent,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
World,World,575,564,551,539,528,516,505,494,484,474,464,454,444,436,427,419,411,403,395,387,380,372,365
Americas,North America,429,408,394,380,366,353,341,329,320,312,304,297,289,283,276,270,265,259,253,248,242,237,232
"OECD Americas (US, Canada, Mexico, Chile)",OECD,460,435,417,400,383,368,352,338,328,317,307,298,289,282,275,268,262,256,250,244,238,233,227
Non-OECD Americas,Non OECD,267,264,260,255,251,247,243,239,235,230,225,221,217,212,208,204,200,197,193,189,186,182,179
Africa,Africa,730,717,699,682,665,648,632,616,591,567,545,523,502,484,466,449,432,417,401,387,373,360,347
Asia,World,700,687,671,656,642,628,614,600,588,575,563,551,539,528,518,508,497,488,478,469,459,450,441
ASEAN,South East Asia,700,711,705,699,693,688,682,676,668,659,651,642,634,627,619,611,604,597,589,582,575,568,561
Europe,Europe,371,345,326,309,293,278,263,250,240,230,221,212,204,200,196,191,187,184,180,176,173,169,166
EU - 28,European Union,294,264,248,232,217,203,190,178,167,157,147,138,129,123,118,113,108,103,99,94,90,87,83
Europe excluding EU - 28,Europe,490,454,430,407,385,365,346,328,315,302,290,278,267,261,256,250,245,240,235,230,225,221,216
Middle East,Middle East,736,735,721,707,693,679,666,652,638,624,610,596,583,573,562,552,542,532,522,513,503,494,485
Oceania,OECD,618,585,560,536,513,492,471,451,437,423,409,396,384,374,365,356,347,339,330,322,315,307,300
Albania,Europe,19,19,18,18,18,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15
Algeria,Africa,668,657,640,625,609,594,579,565,543,521,501,481,463,446,430,415,400,386,372,359,346,334,323
Angola,Africa,617,606,591,576,561,547,533,519,498,477,458,439,421,405,390,375,361,347,334,322,310,298,287
Argentina,Central & South America,444,444,427,410,395,380,366,352,345,338,331,325,318,317,315,314,312,311,309,308,306,305,303
Armenia,Eurasia,256,255,251,248,245,242,239,236,233,230,227,224,222,220,218,215,213,211,209,207,205,203,202
Australia,OECD,810,766,732,700,670,641,613,587,568,549,531,514,497,485,473,461,449,438,427,416,406,396,386
Austria,European Union,208,191,182,173,164,156,148,141,135,128,122,117,112,108,105,102,99,96,93,90,88,85,83
Azerbaijan,Eurasia,587,584,576,568,561,553,546,539,532,526,519,512,506,501,496,491,486,481,477,472,467,463,458
Bahrain,Middle East,795,794,777,761,746,730,715,700,684,668,653,637,622,610,599,587,576,565,554,543,533,523,513
Bangladesh,Non OECD,636,630,619,608,598,588,578,568,556,544,533,522,511,501,490,480,470,461,451,442,433,425,416
Belarus,Europe,499,464,440,418,396,376,358,340,327,314,302,290,279,274,268,263,258,252,247,243,238,233,229
