ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
97934;Creative Lofts - (ehem. Post);Flohrstraße 19 - 21;13507;Berlin;11000000;Reinickendorf;Q1;2021;Completed;Change of use;"BU; LO;";n/a;;Education;Vermietung in Bau;1500;;;Q2;2020;Q2;2019;;BU;13,29952;52,57469
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";Unbekannter Mieter;;Other;Vermietung;190;;23,5;Q3;2023;Q2;2023;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";Mähren AG;JLL;Construction;Vermietung;1070;;40;Q2;2022;Q1;2022;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";Finleap GmbH;;Finance Services;Vermietung;430;;37;Q4;2021;Q4;2021;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";valvero Sachwerte GmbH;Colliers International;Retailing;Vermietung;260;;21;Q2;2018;Q2;2018;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";Mikare Development GmbH;Colliers International;Construction;Vermietung;430;;25,1;Q1;2018;Q1;2018;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";n/a;;Public Organisation;Vermietung;1050;;24;Q3;2017;Q3;2017;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";CMP Capital Management-Partners;;Finance Services;Vermietung;1100;;21;Q2;2016;Q2;2016;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";Optima-Aegidius Gruppe;BNP Paribas;Real Estate Services;Vermietung;610;;16,5;Q1;2016;Q4;2015;;BU;13,31463;52,5005
2094;;Kurfürstendamm 185 / Wielandstraße 23;10709;Berlin;11000000;Kudamm plus Seitenstr.;Q4;1994;Completed;Existing;"BU;";n/a;JLL;Legal Services;Vermietung;1490;;19,5;Q2;2015;Q1;2015;;BU;13,31463;52,5005
103879;;Fasanenstraße 61;10719;Berlin;11000000;Wilmersdorf;;;Completed;Existing;"BU;";n/a;;Business Services;Vermietung;220;;13;Q4;2015;Q2;2015;;BU;13,32689;52,49803
196485;Top Tegel - Haus R;Wittestraße 30 R;13509;Berlin;11000000;Reinickendorf;Q4;1993;Completed;Existing;"BU;";Köpenicker Liegenschafts GmbH;;Real Estate Services;Vermietung;300;;16,7;Q1;2017;Q1;2017;10;BU;13,29533;52,57974
196485;Top Tegel - Haus R;Wittestraße 30 R;13509;Berlin;11000000;Reinickendorf;Q4;1993;Completed;Existing;"BU;";VR FinanzDienstleistung GmbH;;Finance Services;Vermietung;5490;;9,8;Q4;2015;Q4;2015;10;BU;13,29533;52,57974
196377;QaN - Quartier am Nordbahnhof;Gartenstraße 85 - 87;10115;Berlin;11000000;Mitte;Q2;2021;Completed;New Building;"BU; EH; WO;";Charles GmbH;;Information Technology;Untervermietung;690;;36;Q2;2021;Q2;2021;;BU;13,38787;52,53273
