car_id_details,has_tuning,has_airbags,has_alarm_system,fuel_type,gear_type,ac_type,xenon_light,navigation_system,radio_system
5096178328,1,1,0,1039,1141,1049,0,1100,3534
1879501444,0,1,1,1039,1138,1049,0,0,3534
8375508078,1,1,1,1039,1139,0,0,0,1606
1266330246,0,1,0,1040,1139,1050,0,0,3534
9079520882,0,0,0,1039,1141,0,0,1100,3534
3899728782,1,1,0,1040,1138,1049,0,0,3534
8337287136,0,1,0,1040,1138,1049,0,0,3534
8227734102,0,1,0,1040,1139,1050,0,1100,1100
7443397793,1,1,1,1039,1138,1050,0,1100,3534
8138150312,1,1,0,1039,1138,1049,0,1100,1100
8080145516,0,1,0,1040,1138,1050,1089,1100,1100
9038262986,0,1,0,1039,1138,1049,0,0,
8979255872,0,1,1,1040,1138,1050,0,1100,1100
9400116689,0,1,0,1040,1138,1049,0,0,
8092537604,1,1,0,1039,1138,1050,0,1100,
7582526582,0,0,0,0,1141,0,0,0,3534
1875496185,1,1,0,1040,1138,1050,0,0,3534
9816536157,0,1,0,1040,1141,1050,0,1100,3534
3855286479,0,1,0,1040,1138,1050,0,0,
1539412485,1,1,1,1040,1138,1050,0,1100,3534
3450744831,0,0,0,1039,1141,0,0,1100,3534
7947698491,0,1,0,1039,1138,1049,0,0,
7457026764,0,1,1,1039,1141,1050,1089,0,
7489894969,0,1,0,1039,1139,1050,0,0,
5693272211,0,1,1,1039,1138,1050,1089,0,
2080403505,0,1,1,1040,1138,1050,1089,1100,3534
7310955728,0,1,0,1040,1138,1049,0,0,
9829684208,0,1,0,1040,1138,0,0,0,
5277049585,0,1,0,1040,1138,1050,0,1100,3534
1522452224,1,1,0,0,1139,1050,0,1100,3534
9979140280,0,1,0,1039,1138,1049,0,0,
1083535922,0,0,0,1039,1141,0,0,1100,3534
6140027316,0,1,0,1040,1138,1050,0,0,
8165866150,1,1,1,1039,1138,1049,0,1100,
2809463471,0,0,0,1039,1141,0,0,1100,3534
9780178836,1,1,0,1040,1138,1049,0,0,
2327386965,1,1,0,0,1139,1050,0,1100,3534
6076501402,0,1,0,1039,1138,1050,0,0,3534
1340267694,0,1,0,1040,1138,1049,0,0,
5189954767,1,1,0,1039,1138,1050,0,1100,
1881006908,0,1,1,1039,1139,1050,1089,1100,3534
5246431593,1,1,0,1039,1138,1050,0,1100,
6140241233,1,1,0,1040,1139,1050,0,1100,1606
4303544362,0,1,1,1040,1138,1050,0,1100,3534
4559863185,0,1,0,1039,1138,0,0,0,3534
6457255402,1,1,0,1039,1138,1049,0,1100,
3823646050,0,1,0,1040,1138,1049,0,0,3534
9224151067,0,1,0,1039,1138,1050,0,0,
3591573351,0,1,1,1040,1139,1050,0,1100,1100
7613978116,0,0,0,1039,1141,0,0,1100,3534
1354093137,0,0,0,1040,1141,0,0,0,3534
6910192846,1,1,0,1040,1139,1050,1089,0,3534
5494315449,1,1,0,1040,1141,1049,0,0,
3843228429,1,1,0,1039,1138,1050,0,0,3534
4250963904,0,0,0,1039,1141,0,0,1100,3534
2271564373,1,1,0,1040,1138,1050,1089,0,
7927800123,0,1,0,1040,1138,1049,0,0,
3137620693,1,1,0,1040,1139,1050,1089,0,3534
5929200481,1,1,1,1039,1138,1050,1089,1100,3534
3571015989,1,1,1,1039,1139,1049,0,0,3534
4993844548,0,1,0,1040,1138,1050,0,0,
1370540713,0,1,0,1040,1138,1049,0,0,1101
1214283948,0,1,0,1039,1138,1050,1089,0,
1495166658,0,1,0,1039,1139,1049,0,0,
1604859814,1,1,1,1040,1141,1050,1089,1100,3534
1108903155,1,1,0,1039,1141,1049,0,1100,
8423243449,0,0,0,1040,1141,0,0,0,3534
3134323716,0,1,0,1040,1139,1050,1089,1100,3534
4477295252,1,1,1,1039,1138,1049,0,0,
9876633398,0,1,0,1040,1138,1050,0,0,
1028478382,0,0,0,1040,1141,0,0,0,3534
