interview__key,aggree,date,Q1,Q2,Q3C,Q4,Q5,Q6,Q6_oth,Q7,Q8,Q9,Q10,Q11A,Q11B,B1,B2,B3,B3_oth,B4,B4_oth,B5,B6A,B6B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C16_oth,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E4_1,E5,E6,E7,E8,E9,E10,E11__1,E11__2,E11__3,E11__4,E11__5,E11__6,E11_oth,E12,E13,E14,E15,E16A,E16B,E17,E18,E19,E20,E21,E22A,E22B,E23,E24,E25,E26,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38__0,E38__1,E38__2,E38__3,E38__4,E39__0,E39__1,E39__2,E39__3,E39__4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51_m,E51_f,E52,E53,E53_1,E54,F1,F2,F3,F4,F5,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29
55-38-61-78,Yes,17/09/ 2014,Not Answered,Sidama,Hawassa,Crop Production,Middle level,Employed Ful,,8,1,0,4,5,7,30,Male,Married,,University d,,5200,2,1,Strongly dis,Disagree,Disagree,Agree,Disagree,Agree,Strongly agr,Strongly agr,Agree,Disagree,Strongly dis,Strongly dis,Disagree,Strongly dis,Male,Somewhat sat,,To a moderat,To a limited,To a limited,To a limited,To a limited,Not at all,Not at all,To a limited,To a limited,To a moderat,To a limited,Yes,Agree,No,No, ,To a limited,To a great e,To a moderat,No,No,Yes,Yes,No,No,No,No,No,,Yes,Yes,To some exte,Yes,7,1,Yes,Yes,Yes,Yes,Yes,0,6,To a limited,No,To a moderat,To a great e,To a moderat,To a great e,No,,To a great e,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a great e,To a moderat,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,No,To a limited,85,15,No,No, ,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a moderat,Not at all,To a limited,To a limited,To a limited,To a limited,To a moderat,Not at all,Not at all,To a limited,To a limited,Not at all,Not at all,To a limited,To a limited,Not at all,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a limited,Not at all,To a limited,To a limited,To a limited
56-42-75-05,Yes,23/09/ 2014,Not Answered,Addis Ababa,Addis Abab,Expert,Senior offic,Employed Ful,,11,4,4,7,5,0,50,Male,Married,,University d,,5000,,,Disagree,Agree,Agree,Agree,Strongly agr,Disagree,Disagree,Disagree,Strongly dis,Agree,Neutral,Agree,Disagree,Disagree,Male,Satisfied,,To a limited,To a limited,To a great e,To a great e,To a limited,Not at all,Not at all,To the fulle,To the fulle,To the fulle,To the fulle,No,Disagree,No,No, ,Don't know,Don't know,Don't know,,No,No,,,,,,,,No,No,No,No,Don't Know.,Don't Know.,Yes,No,No,,No,,,To a great e,No,To the fulle,To the fulle,To the fulle,To a great e,No,,Don't know,Don't Know,Don't Know,To a great e,To a limited,No,,,,,,,,,,,To a great e,To the fulle,To the fulle,To the fulle,Don't know,Don't know,Don't know,Don't know,To the fulle,No,To the fulle,Don't know,Don't know,No,No, ,To a great e,To the fulle,To a great e,To a moderat,To a great e,To a moderat,To a great e,To a great e,To a great e,To a great e,To a great e,To a limited,To a great e,To the fulle,Don't know,To a moderat,To a great e,To the fulle,To a great e,To a great e,To the fulle,To a limited,To a moderat,To a moderat,To a moderat,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To a moderat,To a great e,To a great e,To a great e
07-99-54-12,Yes,17/09/ 2014,Human Resource Expert,Sidama,Hawassa,Human Resource,Senior offic,Employed Ful,,6,1,0,2,5,5,36,Male,Married,,University d,,5794,2,0,Disagree,Strongly dis,Disagree,Strongly dis,Strongly dis,Strongly dis,Strongly dis,Disagree,Strongly dis,Strongly agr,Agree,Neutral,Neutral,Neutral,Male,Somewhat sat,,Not at all,Not at all,To the fulle,To the fulle,To the fulle,To a limited,To the fulle,To a limited,Not at all,To the fulle,To a limited,Yes,Agree,No,No, ,To a limited,To a moderat,Don't know,No,No,No,,,,,,,,No,No,To some exte,Don't Know,6,0,Don't Know,No,Yes,No,Don't Know,0,6,To a limited,Don't Know,To a limited,Don't know,To a limited,Don't know,Don't Know,,To a limited,Don't Know,Don't Know,To a limited,Don't know,No,,,,,,,,,,,To a limited,Don't know,Don't know,Don't know,Don't know,To a limited,To a moderat,To a limited,Don't know,Don't Know,To a moderat,99,1,No,Some, ,Don't know,To a limited,To a moderat,To a limited,To a great e,To a limited,To the fulle,To a limited,To the fulle,To the fulle,Don't know,Don't know,To the fulle,To the fulle,To a great e,To a great e,Not at all,Not at all,Not at all,Not at all,To a limited,To a limited,To a moderat,Not at all,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a great e
95-58-68-23,Yes,17/09/ 2014,Record Office,Sidama,Hawassa,Data And Statistics,Senior offic,Employed Ful,,2,0,0,2,20,0,48,Male,Married,,University d,,5000,0,0,Strongly dis,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Male,Extremely sa,,To the fulle,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e,To a limited,To a limited,Yes,Strongly agr,No,Yes,in our office there is gender mainstreaming expert. the expert  try to solve gender problems.,To a great e,To a great e,To a moderat,Yes,Yes,To some exte,,,,,,,,No,No,No,Yes,3,0,Yes,No,Don't Know,,Don't Know,,,To a limited,No,To a moderat,To a moderat,To a moderat,To a moderat,No,,To a limited,No,No,To a moderat,To a great e,No,,,,,,,,,,,To a moderat,To a great e,To a great e,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a moderat,Yes,To a limited,80,20,No,Some, ,To a moderat,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,Not at all,Not at all,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,Not at all,Not at all,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,To a moderat
47-09-87-08,Yes,20/09/ 2014,Irrigation Agro Economics Expert,Amhara,Bahir Dar,Vegetable Fruit And Irrigation Development Directorate,Senior offic,Employed Ful,,12,2,2,10,5,0,48,Male,Single,,University d,,9056,,,Disagree,Disagree,Neutral,Disagree,Strongly dis,Strongly dis,Strongly dis,Disagree,Disagree,Neutral,Strongly dis,Strongly dis,Strongly dis,Disagree,Male,Somewhat sat,,To a great e,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To a moderat,Not at all,To the fulle,To the fulle,Yes,Agree,Yes,Yes,harassment is being deal with in accordance with established legal framework and the harassment is declining and almost disappearing with in the framework of the proposed policy.,To the fulle,To a great e,To a great e,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,10,2,No,No,Yes,Yes,No,0,4,To a moderat,Yes,To a moderat,To a great e,To a limited,To the fulle,Yes,To a moderat,To a great e,No,No,To a moderat,To a great e,Yes,Arrive on time,Going out on time,Doing quality work in moderation,##N/A##,##N/A##,Do not wear clothes that expose your body,##N/A##,##N/A##,##N/A##,##N/A##,To a great e,To the fulle,To a great e,To a limited,To the fulle,To a great e,To a moderat,To a moderat,To a moderat,Don't Know,To a great e,80,20,No,Some, ,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a great e,To the fulle,To a great e,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a limited,To a limited,To a moderat,To a great e,To a great e,To a great e,To a moderat,To a moderat,To a moderat,To a great e,To a great e,To a great e,To a limited,To a moderat,To a moderat,To a great e,To a moderat,To a moderat
05-64-82-22,Yes,16/09/ 2014,Not Answered,Sidama,Hawassa,Not Answered,Middle level,Employed Ful,,6,1,0,2,8,4,40,Male,Married,,University d,,15000,1,0,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Male,Somewhat sat,,Not at all,To a great e,To a moderat,To a limited,To a moderat,To the fulle,To a moderat,To a moderat,To the fulle,To a moderat,To the fulle,Yes,Strongly agr,No,No, ,To a limited,To a moderat,To a moderat,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,5,1,Yes,Yes,No,,No,,,To a moderat,No,To a limited,To a moderat,To a great e,To a moderat,No,,To a moderat,No,No,To a moderat,To a moderat,No,,,,,,,,,,,To a limited,To a limited,To a limited,To a moderat,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,Yes,To a moderat,85,15,No,No, ,To a moderat,To a limited,To a limited,Not at all,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a great e,To a moderat,To a limited,To a moderat,To a moderat,To a limited,To a limited,Not at all,To a limited,To a limited,To a limited,Not at all,To a limited,To a limited,To a moderat,To a moderat,To a limited,To a moderat,To a moderat,To a great e,To a moderat,To a limited,Not at all,To a limited,To a limited,To a moderat
08-65-94-10,Yes,20/09/ 2014,Data Expert,Amhara,Bahir Dar,Public Communication Directorate,Senior offic,Employed Ful,,9,3,3,6,16,0,42,Female,Married,,University d,,4700,1,1,Strongly agr,Strongly agr,Agree,Strongly agr,Strongly agr,Agree,Neutral,Agree,Disagree,Strongly agr,Strongly agr,Disagree,Neutral,Neutral,Male,Very unsatis,,To a limited,To a great e,To a great e,To a great e,Not at all,To a moderat,To a moderat,Not at all,To a moderat,Not at all,To a moderat,No,Disagree,No,Yes,Not Answered,To a great e,To a limited,To a limited,No,No,No,,,,,,,,No,No,Yes,Yes,6,3,No,No,Yes,Yes,Yes,0,4,Not at all,No,To a limited,To a limited,To a limited,To a limited,No,,To the fulle,No,No,To a limited,To a limited,No,,,,,,,,,,,Don't know,To a moderat,To a limited,Don't know,Don't know,To a limited,To a moderat,To a moderat,To a moderat,No,Don't know,70,30,No,No, ,Don't know,To a limited,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a moderat,To a moderat,To a limited,To a moderat,To a great e,To a moderat,To a limited,To a moderat,To a limited,To a moderat,To a limited,To a limited,To a limited,To a moderat,To a great e,To a limited,To a moderat,To a great e,To a moderat,To a moderat,To a great e,To a moderat,Not at all,To a limited,To a moderat,To a great e,To a moderat
30-77-52-40,Yes,16/09/ 2014,Risk Protection Expert,Sidama,Hawassa,Risk Monitoring,Senior offic,Employed Ful,,4,1,0,3,10,0,37,Female,Married,,University d,,8000,2,1,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Male,Somewhat sat,,To a limited,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,To the fulle,Not at all,To the fulle,To a great e,Yes,Strongly agr,No,No, ,Not at all,Not at all,Not at all,No,No,No,,,,,,,,No,No,No,Yes,3,1,Don't Know,No,No,,Don't Know,,,To the fulle,Don't Know,To a limited,To a moderat,To a moderat,To a moderat,Yes,To a moderat,To a moderat,No,No,To a limited,To a great e,No,,,,,,,,,,,To a moderat,To a moderat,To a great e,To a limited,To a limited,To a limited,To a limited,To a moderat,To a moderat,No,To a moderat,99,1,Don't Know,No, ,Don't know,Not at all,To a moderat,To a limited,To a great e,To a great e,To a great e,To a great e,To the fulle,To a great e,To a great e,To a moderat,To a moderat,Don't know,To a great e,To the fulle,To a moderat,To a moderat,To a great e,To a great e,To a great e,To a great e,To the fulle,To the fulle,To the fulle,To a great e,To a moderat,To a moderat,To a moderat,To a great e,To a great e,To a great e,To a great e,To a great e,To a great e
68-00-66-45,Yes,17/09/ 2014,Not Answered,Sidama,Hawassa,Not Answered,Junior Profe,Employed Ful,,6,1,1,4,9,2,37,Male,Single,,College dipl,,5000,,,Strongly dis,Agree,Agree,Strongly agr,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Strongly agr,Agree,Disagree,Male,Somewhat sat,,Not at all,Don't know,To the fulle,To the fulle,To the fulle,To a great e,To the fulle,To a limited,To a great e,To a moderat,To a great e,Yes,Agree,Yes,No, ,To a great e,To a moderat,Don't know,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,5,1,Yes,No,Yes,Don't Know,Yes,0,4,To a moderat,No,To a moderat,To a great e,To a limited,To a limited,No,,To a limited,No,No,To a limited,To a limited,No,,,,,,,,,,,To a limited,To a great e,To a limited,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,To a moderat,Don't Know,To a great e,85,15,Don't Know,No, ,To a limited,To a limited,Not at all,To a limited,To a limited,To a moderat,Not at all,To a limited,To a limited,To a limited,Not at all,To a moderat,To a great e,To a moderat,To a limited,To a limited,To a moderat,To a moderat,Not at all,Not at all,To a limited,To a limited,To a limited,To a limited,Not at all,Not at all,Not at all,To a limited,To a limited,To a limited,To a limited,To a limited,To a moderat,To a limited,To a moderat
46-21-16-17,Yes,18/09/ 2014,Not Answered,Sidama,Hawassa,Not Answered,Middle level,Employed Ful,,2,0,0,1,4,7,45,Male,Married,,University d,,9000,2,0,Agree,Strongly agr,Disagree,Strongly agr,Agree,Agree,Strongly agr,Strongly agr,Strongly agr,Agree,Agree,Strongly agr,Strongly agr,Strongly dis,Male,Very unsatis,,To a moderat,To a moderat,To a great e,To a moderat,To the fulle,To the fulle,To the fulle,To a great e,To a great e,To a great e,To the fulle,No,Agree,No,No, ,To a great e,Don't know,Don't know,No,No,Yes,No,Yes,No,No,No,No,,No,No,To some exte,No,2,0,No,No,Yes,Don't Know,Yes,0,4,To a limited,No,To a great e,To a moderat,To a limited,To a limited,No,,To a moderat,Yes,Yes,To a moderat,To a moderat,No,,,,,,,,,,,To a moderat,To a moderat,To a moderat,To a limited,To a limited,To a moderat,To a limited,To a limited,To a limited,No,To a great e,80,20,No,No, ,Don't know,Not at all,To a moderat,To a moderat,To a limited,To a limited,Not at all,To a limited,To a moderat,Not at all,Not at all,To a limited,To a moderat,To a limited,To a limited,To a limited,Not at all,Not at all,Not at all,Not at all,To a great e,To a limited,To a moderat,To a moderat,To a moderat,To a great e,To a moderat,To a moderat,To a great e,To a moderat,To a moderat,To a moderat,To a limited,Not at all,To a moderat
