Country,Economic regions,Number,Latitude,Longitude
Azerbaijan,Absheron-Khizi,12079,40.5084829,49.61773607
Azerbaijan,Baku,44060,40.3755885,49.8328009
Azerbaijan,Central Aran,9605,40.5107706,47.69241753
Azerbaijan,Eastern Zangazur,1839,39.5949782,46.54187977
Azerbaijan,Ganja-Dashkasan,8060,40.7275076,46.5442247
Azerbaijan,Gazakh-Tovuz,7866,41.0910097,45.3580705
Azerbaijan,Guba-Khachmaz,2812,41.42317265,48.67005393
Azerbaijan,Karabakh,9942,39.9656008,47.27895981
Azerbaijan,Lankaran-Astara,6929,38.91902045,48.73736487
Azerbaijan,Mil-Mughan,3897,39.8719346,48.19464775
Azerbaijan,Nakhchivan,3185,39.217497,45.4069671
Azerbaijan,Shaki-Zagatala,9997,41.2033609,47.1802623
Azerbaijan,Shirvan,2160,39.9549667,48.9455904
Azerbaijan,Shirvan-Salyan,2887,39.62573815,49.12402073
